"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
"20593","CXCR4.10",4.39044090886699e-76,-0.835932596919198,0.141,0.444,1.0857999411719e-71,13,"CXCR4","B"
"19961","LYZ.11",1.38603759735574e-96,-3.11367415130567,0.212,0.503,3.42780958202049e-92,13,"LYZ","Myeloid"
"14543","DCN",0,6.75321993346136,0.998,0.048,0,12,"DCN","Fibroblasts"
"15632","GLI1",0,6.40943335730088,0.291,0.002,0,12,"GLI1","Fibroblasts"
"14561","CDH11",0,6.09474486906592,0.931,0.023,0,12,"CDH11","Fibroblasts"
"14550","COL3A1",0,5.95062729531883,0.994,0.063,0,12,"COL3A1","Fibroblasts"
"14574","COL1A1",0,5.85737071988013,0.996,0.115,0,12,"COL1A1","Fibroblasts"
"15504","GLI2",0,5.36436635246062,0.352,0.007,0,12,"GLI2","Fibroblasts"
"15311","GLI3",0,5.28732334150124,0.428,0.006,0,12,"GLI3","Fibroblasts"
"14605","IGFBP7",0,5.02671954164702,1,0.188,0,12,"IGFBP7","Fibroblasts"
"14697","PDPN",0,5.00085750248348,0.732,0.024,0,12,"PDPN","Fibroblasts"
"14570","PDGFRB",0,4.34160110132513,0.92,0.027,0,12,"PDGFRB","Fibroblasts"
"14636","ACTA2",0,3.56779280274994,0.865,0.081,0,12,"ACTA2","Fibroblasts"
"16395","CLU.2",3.96443021577692e-177,0.36925975012653,0.593,0.217,9.8044323666379e-173,12,"CLU","Epithelial"
"17527","APOE.1",2.67023294155087e-86,-1.16044221842872,0.472,0.208,6.60375308774947e-82,12,"APOE","Fibroblasts"
"17008","CXCR4.9",1.11579778574593e-122,-4.78503863509545,0.137,0.444,2.75947950392826e-118,12,"CXCR4","B"
"16779","LYZ.10",6.67923554900303e-141,-4.80604284521268,0.195,0.504,1.65184174362394e-136,12,"LYZ","Myeloid"
"17565","IGLL5.2",4.40635704301187e-83,-5.45997372424222,0.451,0.182,1.08973616030727e-78,12,"IGLL5","B"
"14258","CD2.2",0,2.78617465363356,0.947,0.181,0,11,"CD2","T_NK"
"14256","CD3D.2",0,2.54428124089592,0.97,0.172,0,11,"CD3D","T_NK"
"14264","CD69.3",0,2.35044451474006,0.835,0.222,0,11,"CD69","T_NK"
